,Preds,Actual
0,24.829195,38.27883011
1,23.520393,35.66256021
2,24.126377,36.61927318
3,25.416067,38.93315884
4,25.324738,38.90666288
5,26.733839,40.90062506
6,27.67185,41.91423691
7,25.033743,37.46401883
8,24.646082,36.31617092
9,29.345715,44.81396296
10,28.97867,43.82165575
11,28.792732,42.00097577
12,29.128977,42.40585485
13,31.65412,47.09951548
14,31.732515,46.63445079
15,32.906578,47.92005744
16,33.52929,48.87117794
17,33.570557,48.25230862
18,35.488712,49.78153647
19,35.906906,49.75414383
20,36.80284,49.78563896
21,37.80055,49.78819417
22,39.11607,49.79073252
23,40.182407,49.78979539
24,39.432888,49.78776605
25,39.80255,49.75247182
26,38.197964,49.42104991
27,36.613583,49.48666279
28,32.826416,46.83639986
29,32.671253,46.51954397
30,33.531693,48.92725093
31,34.000214,49.24351352
32,35.475708,49.78424337
33,36.69985,49.78454676
34,37.47432,49.78079148
35,38.115265,49.78871667
36,37.28709,49.78627271
37,35.483025,49.56271562
38,36.673046,49.78833238
39,37.059475,49.78131736
40,37.496357,49.67578525
41,37.54724,49.73258975
42,36.375988,49.4729395
43,37.30189,49.78497488
44,36.22546,49.75617317
45,36.601795,49.76467817
46,35.130123,48.88432142
47,35.06431,49.11031236
48,34.94721,49.50715502
49,34.96585,49.11137422
50,35.005157,49.48449524
51,35.125404,49.06578163
52,34.109238,47.27372469
53,34.587276,48.71045941
54,35.043808,49.77097517
55,34.830128,49.07878689
56,34.617672,48.26689151
57,33.47705,45.31770634
58,33.029053,43.7357866
59,33.635666,46.15548079
60,33.93009,46.47171304
61,34.533916,47.6269097
62,32.954636,43.13485431
63,31.73853,39.94069617
64,33.513016,46.05386914
65,34.11207,48.18389108
66,34.417595,47.63092792
67,34.414925,47.09987617
68,34.709652,47.55260979
69,34.583427,47.04666178
70,35.96605,49.66540261
71,36.058434,49.4668515
72,36.342827,49.23623556
73,37.01259,49.35066033
74,36.980324,49.70218682
75,34.622993,46.29711616
76,32.811893,42.98600839
77,35.019604,49.51994117
78,34.968723,48.7199993
79,33.492966,44.25553206
80,32.248226,41.63470459
81,31.171597,39.90351082
82,29.447926,35.51926631
83,27.545294,30.12001437
84,27.359926,31.27117596
85,29.912615,40.67656906
86,27.266026,33.30354041
87,24.940449,27.71900219
88,21.652466,21.3260879
89,21.463303,18.57095358
90,20.231401,11.54021996
91,18.91851,8.262458832
92,18.908756,4.938482739
93,18.799417,6.131444982
94,17.824688,5.076631669
95,15.36226,2.202145881
96,11.989156,0.732426006
97,10.187815,0.904390357
98,10.529955,1.410899793
99,12.530462,3.310578317
100,15.549067,6.589948461
101,14.750272,6.499176219
102,13.442594,5.826083739
103,13.71567,6.383344484
104,16.583576,11.81097929
105,19.81852,16.17473494
106,22.330803,18.42738326
107,23.747307,18.92817028
108,23.62625,17.30810109
109,19.836798,11.3935062
110,19.340363,12.81136676
111,15.78682,8.78979575
112,11.204639,6.157182465
113,13.439822,8.964501345
114,12.414801,6.852059104
115,11.24938,6.56869734
116,12.225424,7.45253969
117,13.640297,9.240371091
118,15.478756,12.55376439
119,11.457971,6.056914575
120,13.475889,8.39211119
121,15.616566,11.16378442
122,18.321606,15.34126861
123,17.720879,14.34345152
124,16.069593,12.13866784
125,16.826778,13.84368759
126,15.762408,11.91624593
127,13.74325,9.807783984
128,10.0705595,6.581118583
129,9.013863,4.822455065
130,9.164191,4.265607266
131,5.9938064,2.154953122
132,3.7652988,0.546635607
133,3.432893,0.034124076
134,3.5250068,0.034124076
135,3.1834378,0.034124076
136,2.9806523,0.034124076
137,2.9870615,0.034124076
138,3.4639351,0.034124076
139,7.1093917,0.034124076
140,2.860546,0.062901863
141,2.9540083,0.034124076
142,4.354447,2.115604227
143,5.8088865,6.908603612
144,6.32931,8.136709233
145,6.1308885,6.818750806
146,3.7172623,0.034124076
147,6.795536,0.034124076
148,6.5731072,3.630198623
149,12.431408,14.80989831
150,10.221858,15.19956245
151,14.090967,24.02155744
152,15.75323,30.24309246
153,19.165379,38.59429378
154,16.038456,32.47330349
155,12.434877,22.50044862
156,7.6562166,4.484654397
157,14.86959,17.80173488
158,9.242107,2.583953937
159,5.523776,2.132834604
160,5.638636,4.358906483
161,6.236474,5.504816495
162,7.2362633,6.286194757
163,7.8889837,8.40941615
164,7.8846836,8.120944814
165,8.236606,9.784410406
166,10.878517,17.98340072
167,11.708958,19.42937026
168,10.624025,15.0310266
169,12.535193,16.24058379
170,11.903733,15.22603144
171,13.55277,16.83795296
172,13.814417,17.15485098
173,16.877693,21.61769004
174,17.093805,21.6426404
175,15.875806,18.41040023
176,14.3022,15.2341218
177,14.797881,15.8365188
178,14.837533,16.04432327
179,17.977146,20.90821534
180,19.13256,23.60889137
181,15.05293,16.01002516
182,16.607443,17.01148629
183,18.134222,20.45996682
184,21.760073,26.01328465
185,19.384142,22.41255014
186,21.708658,25.47873888
187,18.222973,21.19026242
188,21.084316,24.72440478
189,24.332098,31.85153513
190,30.353933,43.57435006
191,31.939844,47.80314825
192,32.09792,45.11442911
193,33.069088,48.01965324
194,33.13414,45.75283667
195,28.693909,32.16719094
196,25.142908,28.03015605
197,22.766827,29.37437573
198,17.19994,23.77546531
199,27.005526,40.23915995
200,27.634096,43.12326822
201,26.2371,38.04985922
202,20.566841,27.0612654
203,21.10913,28.06673126
204,20.633905,27.1430607
205,24.17861,33.85346631
206,24.362997,34.20162518
207,20.118752,24.54525201
208,12.996811,10.95753987
209,9.17059,3.246890899
210,8.266709,0.639431283
211,9.613571,0.034124076
212,9.613824,0.034124076
213,10.116172,0.034124076
214,11.714135,0.034124076
