,Preds,Actual
0,33.133682,38.27883011
1,31.772846,35.66256021
2,32.93658,36.61927318
3,34.62879,38.93315884
4,34.95393,38.90666288
5,36.884365,40.90062506
6,37.99245,41.91423691
7,35.40823,37.46401883
8,34.618538,36.31617092
9,40.028667,44.81396296
10,39.878853,43.82165575
11,39.603497,42.00097577
12,40.059784,42.40585485
13,42.916855,47.09951548
14,42.981754,46.63445079
15,44.030712,47.92005744
16,44.698757,48.87117794
17,44.545174,48.25230862
18,46.90779,49.78153647
19,46.761345,49.75414383
20,47.27683,49.78563896
21,48.152225,49.78819417
22,48.91192,49.79073252
23,49.2967,49.78979539
24,48.41444,49.78776605
25,48.963943,49.75247182
26,47.874043,49.42104991
27,47.126118,49.48666279
28,44.643616,46.83639986
29,44.811848,46.51954397
30,46.27312,48.92725093
31,46.83498,49.24351352
32,48.06753,49.78424337
33,48.369026,49.78454676
34,47.747055,49.78079148
35,47.781803,49.78871667
36,46.54906,49.78627271
37,45.12163,49.56271562
38,47.528778,49.78833238
39,47.950527,49.78131736
40,48.18562,49.67578525
41,48.43001,49.73258975
42,47.65357,49.4729395
43,48.70388,49.78497488
44,47.380905,49.75617317
45,47.44232,49.76467817
46,45.904247,48.88432142
47,45.82899,49.11031236
48,45.849712,49.50715502
49,45.931885,49.11137422
50,46.058674,49.48449524
51,46.155434,49.06578163
52,44.77814,47.27372469
53,45.542557,48.71045941
54,46.037354,49.77097517
55,45.51694,49.07878689
56,45.057045,48.26689151
57,43.685463,45.31770634
58,42.85792,43.7357866
59,43.676422,46.15548079
60,44.011566,46.47171304
61,45.144054,47.6269097
62,42.61772,43.13485431
63,40.282978,39.94069617
64,42.812916,46.05386914
65,43.68544,48.18389108
66,44.00755,47.63092792
67,43.959377,47.09987617
68,44.53261,47.55260979
69,44.289818,47.04666178
70,46.370754,49.66540261
71,46.14295,49.4668515
72,46.193863,49.23623556
73,46.846077,49.35066033
74,46.56536,49.70218682
75,44.292786,46.29711616
76,42.251583,42.98600839
77,45.669537,49.51994117
78,45.808838,48.7199993
79,43.824215,44.25553206
80,42.07503,41.63470459
81,40.237232,39.90351082
82,36.713005,35.51926631
83,32.229965,30.12001437
