,Preds,Actual
0,3508.796143,3601.787109
1,3465.010498,3601.858887
2,3487.650879,3601.563965
3,3520.402588,3601.875
4,3472.661865,3601.852051
5,3519.071533,3602.155029
6,3497.281494,3601.685059
7,3479.4104,3601.541016
8,3475.849854,3601.298096
9,3468.174316,3601.443115
10,3451.612061,3601.333008
11,3389.880615,3601.680908
12,3362.719482,3601.302979
13,3290.543457,3600.771973
14,3298.424072,3600.917969
15,3336.746826,3601.2229
16,3338.367188,3601.513916
17,3348.59375,3601.221924
18,3328.557373,3600.981934
19,3398.412842,3600.864014
20,3367.877686,3600.677979
21,3391.230713,3600.916992
22,3358.67749,3600.969971
23,3339.607422,3601.745117
24,3393.488281,3600.554932
25,3399.741455,3600.727051
26,3405.535645,3600.804932
27,3482.02124,3600.798096
28,3452.622559,3600.958984
29,3453.361572,3601.065918
30,3451.937988,3601.037109
31,3377.919189,3601.125
32,3366.773926,3601.191895
33,3375.766357,3600.936035
34,3368.70459,3600.718994
35,3402.702881,3600.813965
36,3456.536133,3601.13501
37,3465.4729,3601.00293
38,3510.993408,3601.165039
39,3474.725342,3601.083008
40,3440.634766,3600.837891
41,3382.991699,3601.104004
42,3328.628662,3600.987061
43,3348.104004,3600.353027
44,3440.592285,3599.978027
45,3425.163086,3600.481934
46,3480.880371,3600.965088
47,3436.265625,3600.891113
48,3415.878662,3600.905029
49,3378.278809,3601.310059
50,3356.932617,3601.033936
51,3390.828613,3601.316895
52,3457.994385,3601.589111
53,3439.596924,3601.669922
54,3431.134521,3601.808105
55,3375.583008,3602.297119
56,3381.750732,3601.955078
57,3402.625488,3601.530029
58,3442.164551,3601.895996
59,3418.971191,3601.969971
60,3460.586914,3601.9021
61,3508.072266,3602.25293
62,3509.502197,3602.584961
63,3510.344238,3597.270996
64,3475.080566,3602.543945
65,3499.584961,3602.210938
66,3492.761963,3602.294922
67,3464.168945,3602.696045
68,3510.289063,3602.938965
69,3458.132813,3603.108887
70,3427.977783,3587.083008
71,3438.257568,3603.118896
72,3403.213867,3603.268066
73,3409.095947,3603.349121
74,3344.093506,3599.250977
75,3338.635742,3475.695068
76,3436.624023,3597.5
77,3435.906982,3580.770996
78,3440.304443,3573.554932
79,3320.459473,3603.091064
80,3282.907227,3601.12793
81,3193.845703,3550.784912
82,3298.31665,3087.3479
83,3403.561768,3468.594971
84,3372.07373,3563.552979
85,3403.80127,3554.305908
86,3405.19751,3600.605957
87,3371.248291,3597.531006
88,3186.63208,3581.506104
89,3237.496826,3596.840088
90,3231.095703,3602.48999
91,3159.377197,3599.385986
92,3150.088135,3581.690918
93,2981.89624,3426.106934
94,3174.95166,3205.851074
95,3116.110596,3502.14209
96,3106.060547,3193.729004
97,3215.83252,3390.202881
98,3135.172852,3364.996094
99,3080.144287,3505.798096
100,2735.838867,3412.186035
