Preds,Actual
0.17400421,0.034124076
0.6499678,0.034124076
0.5572289,0.113992493
0.49790293,0.202406216
0.051083043,0.061297329
0.6146438,0.034124076
0.8928362,0.23068907
1.2289647,1.687317218
1.1606239,0.44351523
1.0008831,0.132362059
0.97575223,0.034124076
1.0643098,0.034124076
1.8164366,0.034124076
1.6131732,5.817054972
1.4124413,2.747833187
0.78195816,1.213201752
7.9246783,7.534186671
7.851243,8.831157756
7.522272,7.144455111
6.4220376,5.993003618
9.54216,10.3611702
12.519622,14.02375136
10.493374,11.40502907
12.417195,13.06907363
8.14336,8.261520854
4.7617307,2.802896357
1.8750534,0.034367089
0.19939542,0.034124076
0.64264536,0.034124076
4.1510344,1.728975976
5.9188848,6.279802945
7.4507227,7.600409703
5.0249157,5.919378743
2.6969874,2.569142664
2.0227678,1.398167366
2.0354455,1.099034126
1.9448436,0.174675111
1.4010615,0.034124076
1.3682168,1.544577425
2.943533,3.366554182
6.7862206,6.078995801
7.447391,6.549642838
8.23279,7.491820954
5.8078766,5.241151407
6.104431,6.091755407
5.578826,5.904763409
5.7589774,6.080685508
5.145162,5.119005814
5.1849346,4.877417317
6.33689,6.24208919
8.848493,9.564584998
13.462795,15.07314034
12.682168,13.7238684
10.994392,10.58635211
8.724221,6.97405553
8.315845,6.303680486
10.52421,9.084857366
11.679151,10.56832491
10.180463,8.729777862
9.996748,8.415226888
8.626554,6.875135614
8.202034,6.428865445
6.8899617,5.232887433
7.0353417,5.75733036
6.8266764,5.990284918
6.5952687,6.010442575
6.3434324,5.890077706
6.5310373,6.100514916
6.114642,5.538509506
6.7797804,6.368003124
7.204586,6.961790195
6.5096073,6.025085298
7.8221345,7.575905159
9.75482,10.00806862
9.632256,9.796156608
9.138699,8.755244823
9.232851,8.495916509
9.893806,9.185277371
10.413941,9.920409489
11.234859,10.89205846
9.574742,8.832016515
7.543739,6.206591437
6.972815,5.604493198
7.524914,6.42295442
8.983312,8.454974191
7.0559464,6.239487631
6.4662776,5.438001855
6.1806703,5.290870931
5.5643277,4.708127212
4.362568,3.250444972
3.5623987,2.241774989
3.420527,2.275541319
3.4160285,2.372636057
2.7451596,1.618497579
1.8932499,0.530390875
1.0563105,0.034263072
0.8545253,0.034124076
0.8017648,0.034124076
1.0202326,0.034124076
1.1963778,0.034124076
1.2615707,0.034124076
1.329615,0.034124076
1.5047051,0.034124076
1.027849,0.034124076
1.0135025,0.034124076
1.0913115,0.034124076
1.1253536,0.034124076
0.9169519,0.034124076
0.7730022,0.034124076
0.5448323,0.034124076
0.743109,0.034124076
0.82775354,0.034124076
0.7714581,0.034124076
0.8936703,0.034124076
0.7585537,0.034124076
0.6248277,0.034124076
0.4842125,0.034124076
0.4098758,0.034124076
0.39600953,0.034124076
0.35341457,0.034124076
0.3455341,0.034124076
0.901692,0.034124076
1.9772675,0.195196453
2.911507,1.426489552
4.2247853,2.828340985
5.132193,3.834829308
2.0354285,0.297313171
0.99003386,0.034124076
0.43479985,0.034124076
0.76575166,0.034124076
